strategy_id,oos_w1,oos_w2,oos_w3,oos_w4,oos_w5,windows_positive,wf_validated
S5.09_S_atr_F10,8.378978632251284,-122.75667787701684,,,,1,False
S5.09_S_atr_F8,,,24.218690834763688,,,1,False
S3.01_S_trail_F9,,,,,,0,False
S3.01_S_trail_F8,,,,,,0,False
S3.01_S_trail,,,,,,0,False
S3.01_L_and+S4.09_L_and,,,,,,0,False
S2.08_L_aggr,,,,,,0,False
S1.11_S_aggr_F8,,-50.098098098098006,20.255331254086684,-9.56357385346967,,1,False
S2.08_L_aggr_F9,,,,,,0,False
SEQ_S1.11_S+S4.04_L,9.121370144097382,16.65978144025839,13.863836754644604,6.797349532841086,3.6663770699465537,5,True
SEQ_S5.02_S+S4.04_L,18.135607993308568,7.459161855746203,3.7428235230426736,-0.30108262167136424,-9.398553796696337,3,True
S6.04_L_atr_F7,,,,,,0,False
S3.01_L_base_F9,,,,,,0,False
S1.11_S_trail_F2,-1.3478777640873285,-6.9997401449868,14.256551950611904,-4.47001285029066,8.852333636576097,2,False
S2.08_L_aggr_F3,,,,,,0,False
S5.02_S_base_F8,,,,,,0,False
S3.01_S_quick,,,,,,0,False
S2.08_L_aggr_F7,,,,,,0,False
S1.11_S_aggr,8.42890262845761,-23.467957966308084,22.422674221641667,11.99647419439793,9.412158030835865,4,True
S6.04_L_atr_F1,,,,,,0,False
SEQ_S5.02_S+S3.01_L,2.54512433738509,12.364293828681559,12.65934788831961,8.804055118892334,-13.518815680667988,4,True
S5.02_S_base,,-12.22222222222212,6.970777657692605,-4.70720720720716,,1,False
S7.04_S_trail,,,,,,0,False
S3.12_S_aggr_F8,11.141460136853878,-17.03203203203197,33.54694700979708,-4.644142132612353,15.67195087547772,3,True
S3.01_L_base,,,,,,0,False
S3.01_L_and+S3.01_L_and,,,,,,0,False
S3.01_S_quick_F9,,,,,,0,False
S4.04_L_aggr,,30.504620960434977,,,,1,False
S3.01_S_quick_F8,,,,,,0,False
SEQ_S1.11_S+S3.01_L,-4.617658562983682,-8.182183072742436,11.761312665777856,14.155592402515664,13.199764167707839,3,True
