indicator,category,name,symbol,crash_type,precision,recall,f1,avg_lead_time,median_lead_time,false_alarm_rate,total_signals,true_positives,false_positives,detected_crashes,missed_crashes,total_crashes
M1,momentum,RSI Overbought Exit,XLM,ALL,0.47058823529411764,0.2692307692307692,0.3425076452599388,12.25,14.5,0.5294117647058824,17,8,9,7,19,26
M1,momentum,RSI Overbought Exit,XLM,A,0.4117647058823529,0.4,0.40579710144927533,7.857142857142857,7.0,0.5882352941176471,17,7,10,6,9,15
M1,momentum,RSI Overbought Exit,XLM,B,0.6470588235294118,0.42857142857142855,0.515625,8.545454545454545,6.0,0.35294117647058826,17,11,6,9,12,21
M1,momentum,RSI Overbought Exit,XLM,C,0.23529411764705882,0.3,0.26373626373626374,7.75,7.5,0.7647058823529411,17,4,13,3,7,10
M1,momentum,RSI Overbought Exit,XLM,D,0.17647058823529413,0.17647058823529413,0.17647058823529413,7.0,6.0,0.8235294117647058,17,3,14,3,14,17
M1,momentum,RSI Overbought Exit,SUI,ALL,0.5882352941176471,0.2857142857142857,0.3846153846153846,9.3,9.5,0.4117647058823529,17,10,7,8,20,28
M1,momentum,RSI Overbought Exit,SUI,A,0.35294117647058826,0.25,0.2926829268292683,10.833333333333334,11.5,0.6470588235294118,17,6,11,5,15,20
M1,momentum,RSI Overbought Exit,SUI,B,0.7647058823529411,0.375,0.5032258064516129,9.23076923076923,9.0,0.23529411764705882,17,13,4,9,15,24
M1,momentum,RSI Overbought Exit,SUI,C,0.17647058823529413,0.42857142857142855,0.25,11.333333333333334,12.0,0.8235294117647058,17,3,14,3,4,7
M1,momentum,RSI Overbought Exit,SUI,D,0.47058823529411764,0.3,0.36641221374045807,11.875,14.0,0.5294117647058824,17,8,9,6,14,20
M2,momentum,RSI Bearish Divergence,BTC,ALL,0.23076923076923078,0.15,0.18181818181818185,9.833333333333334,8.5,0.7692307692307693,26,6,20,3,17,20
M2,momentum,RSI Bearish Divergence,BTC,A,0.0,0.0,0.0,,,1.0,26,0,26,0,9,9
M2,momentum,RSI Bearish Divergence,BTC,B,0.23076923076923078,0.2,0.21428571428571427,9.833333333333334,8.5,0.7692307692307693,26,6,20,3,12,15
M2,momentum,RSI Bearish Divergence,BTC,C,0.0,0.0,0.0,,,1.0,26,0,26,0,7,7
M2,momentum,RSI Bearish Divergence,BTC,D,0.11538461538461539,0.2222222222222222,0.15189873417721517,8.333333333333334,9.0,0.8846153846153846,26,3,23,2,7,9
M2,momentum,RSI Bearish Divergence,ETH,ALL,0.48148148148148145,0.16129032258064516,0.24163568773234198,12.23076923076923,12.0,0.5185185185185185,27,13,14,5,26,31
M2,momentum,RSI Bearish Divergence,ETH,A,0.18518518518518517,0.10526315789473684,0.1342281879194631,13.6,14.0,0.8148148148148148,27,5,22,2,17,19
M2,momentum,RSI Bearish Divergence,ETH,B,0.37037037037037035,0.16,0.22346368715083798,13.1,11.5,0.6296296296296297,27,10,17,4,21,25
M2,momentum,RSI Bearish Divergence,ETH,C,0.0,0.0,0.0,,,1.0,27,0,27,0,11,11
M2,momentum,RSI Bearish Divergence,ETH,D,0.2962962962962963,0.17647058823529413,0.22119815668202764,11.125,10.0,0.7037037037037037,27,8,19,3,14,17
M2,momentum,RSI Bearish Divergence,SOL,ALL,0.7692307692307693,0.22857142857142856,0.3524229074889868,12.4,14.0,0.23076923076923078,13,10,3,8,27,35
M2,momentum,RSI Bearish Divergence,SOL,A,0.38461538461538464,0.21739130434782608,0.27777777777777773,12.6,13.0,0.6153846153846154,13,5,8,5,18,23
M2,momentum,RSI Bearish Divergence,SOL,B,0.7692307692307693,0.21875,0.34063260340632606,12.8,13.0,0.23076923076923078,13,10,3,7,25,32
