rank,indicator,category,name,precision,recall,f1,false_alarm_rate,avg_lead_time,median_lead_time,total_signals,true_positives,detected_crashes,total_crashes,consistency_across_assets,normalized_lead_time,composite_score,base_rate,precision_lift
1,M5,momentum,Stochastic %K/%D Cross (>80),0.49280177187153934,0.6966292134831461,0.5772509964327186,0.5071982281284607,9.88706594285594,10.166666666666666,903,445,186,267,0.8888888888888888,0.23376149726549353,0.5445113027852692,0.3891841424877909,1.2662431946003532
2,VOL6,volume,Down/Up Volume Ratio Spike,0.3503184713375796,0.846441947565543,0.4955448801004644,0.6496815286624203,10.746456329992085,10.61111111111111,1256,440,226,267,1.0,0.3641459347322402,0.5413916127700117,0.3891841424877909,0.9001355222189441
3,M7,momentum,Williams %R Overbought Exit,0.4563445867287544,0.7078651685393258,0.5549351160047189,0.5436554132712457,9.712207324951576,9.777777777777779,859,392,189,267,0.8888888888888888,0.20723241005095203,0.5251123358957402,0.3891841424877909,1.1725672680588994
4,M8,momentum,ROC Negative Turn,0.37087378640776697,0.7865168539325843,0.5040622820411318,0.629126213592233,9.759010471573681,9.11111111111111,1030,382,210,267,1.0,0.21433325971757755,0.5142160956446662,0.3891841424877909,0.9529519472119851
5,V7,volatility,Consecutive Down Candles,0.3304442036836403,0.7340823970037453,0.45573924213720207,0.6695557963163596,11.027691614082402,11.61111111111111,923,305,196,267,1.0,0.40681420850024497,0.5097648323677932,0.3891841424877909,0.8490690334177906
6,X5,cross_asset,All-Sector Simultaneous Weakness,0.33106382978723403,0.8014981273408239,0.46857840833293457,0.668936170212766,9.994521383688484,9.166666666666666,1175,389,214,267,1.0,0.25006435265625665,0.5034160996272615,0.3891841424877909,0.8506611489126124
7,VOL3,volume,CMF Negative Flip,0.36394557823129253,0.6292134831460674,0.4611536537499519,0.6360544217687075,11.120674802771578,11.277777777777779,882,321,168,267,1.0,0.42092137205777963,0.5024143657108301,0.3891841424877909,0.9351500703621548
8,M6,momentum,CCI Extreme Reversal,0.4717948717948718,0.49063670411985016,0.48103135165339556,0.5282051282051282,9.831586484463722,9.333333333333334,390,184,131,267,1.0,0.22534430051567322,0.49235825700474944,0.3891841424877909,1.2122664319748653
9,V4,volatility,Garman-Klass Vol Spike (2σ),0.38023952095808383,0.6666666666666666,0.4842707340324118,0.6197604790419161,9.557842213405713,8.333333333333334,668,254,178,267,1.0,0.1838125434400745,0.4843583086617198,0.3891841424877909,0.9770169938771653
10,VOL4,volume,VPT EMA Breakdown,0.3593350383631714,0.6292134831460674,0.4574352116975044,0.6406649616368286,9.842926970326396,9.722222222222221,782,281,168,267,1.0,0.22706484904860672,0.47103061732539353,0.3891841424877909,0.9233033906936332
