symbol,cluster_id,cluster_start,cluster_end,n_event_days,types,peak_decline,has_A,has_B,has_C,has_D
DOGE,DOGE_12,2023-11-18,2023-11-20,2,B|C,-0.24810339983141327,False,True,True,False
DOGE,DOGE_13,2024-01-03,2024-01-23,5,B|C|D,-0.21392106813273126,False,True,True,True
DOGE,DOGE_14,2024-02-10,2024-02-13,2,C,-0.20430001963479294,False,False,True,False
DOGE,DOGE_15,2024-03-05,2024-04-13,10,A|B|C|D,-0.3066678787327849,True,True,True,True
DOGE,DOGE_16,2024-04-30,2024-05-08,3,A|B,-0.16521684711183415,True,True,False,False
DOGE,DOGE_17,2024-06-08,2024-06-19,3,A|B,-0.16717760065399556,True,True,False,False
DOGE,DOGE_18,2024-07-04,2024-07-07,2,A|B|D,-0.17378648414758868,True,True,False,True
DOGE,DOGE_19,2024-08-02,2024-08-05,2,A|B|D,-0.16879052090319702,True,True,False,True
DOGE,DOGE_20,2024-08-27,2024-08-27,1,B,-0.1214247646118316,False,True,False,False
DOGE,DOGE_21,2024-09-30,2024-10-01,2,B|D,-0.16562548805247546,False,True,False,True
DOGE,DOGE_22,2024-11-14,2024-12-19,7,A|B|C|D,-0.32602122869089745,True,True,True,True
DOGE,DOGE_23,2025-01-07,2025-02-06,7,A|B|C|D,-0.40303431667670075,True,True,True,True
DOGE,DOGE_24,2025-02-24,2025-03-09,4,A|B|D,-0.297605616146421,True,True,False,True
DOGE,DOGE_25,2025-03-29,2025-04-08,5,A|B|D,-0.18237728474537307,True,True,False,True
DOGE,DOGE_26,2025-05-23,2025-06-05,3,A|B|D,-0.24307460837242223,True,True,False,True
DOGE,DOGE_27,2025-06-22,2025-06-22,1,B,-0.11484905218815811,False,True,False,False
DOGE,DOGE_28,2025-07-23,2025-08-25,5,A|B|D,-0.20699248432504247,True,True,False,True
DOGE,DOGE_29,2025-09-23,2025-09-25,2,A|B,-0.19977025523207803,True,True,False,False
DOGE,DOGE_30,2025-10-10,2025-10-16,2,A|B|D,-0.25059065029629335,True,True,False,True
