date,symbol,crash_A,crash_B,crash_C,crash_D,ret_1d,ret_3d,ret_7d,dd_52w,crash_type,severity,cluster_id,cluster_start,cluster_peak_decline
2022-01-21,BTC,True,True,False,True,-0.10411763158690412,-0.1394690513721628,-0.15361486633986654,,A|B|D,-0.15361486633986654,BTC_0,2022-01-21,-0.15361486633986654
2022-02-18,BTC,False,True,False,False,-0.013359265667383102,-0.10260263473720643,-0.056622109972381485,,B,-0.10260263473720643,BTC_1,2022-02-18,-0.15096905744598788
2022-02-23,BTC,True,False,False,False,-0.025642467642837508,-0.029616361210819564,-0.15096905744598788,,A,-0.15096905744598788,BTC_1,2022-02-18,-0.15096905744598788
2022-03-04,BTC,False,True,False,False,-0.07785697460781071,-0.11869422708076305,-0.0017978452884136464,,B,-0.11869422708076305,BTC_1,2022-02-18,-0.15096905744598788
2022-04-11,BTC,True,False,False,False,-0.06234515410168928,-0.06441255694107817,-0.15135214277387699,,A,-0.15135214277387699,BTC_2,2022-04-11,-0.15135214277387699
2022-05-07,BTC,False,True,False,False,-0.015032583370194197,-0.10626379440665157,-0.05735753691125367,,B,-0.10626379440665157,BTC_3,2022-05-07,-0.2193073305860378
2022-05-09,BTC,True,True,False,True,-0.11640059462254393,-0.16486638305292656,-0.2193073305860378,,A|B|D,-0.2193073305860378,BTC_3,2022-05-07,-0.2193073305860378
2022-06-12,BTC,False,True,False,False,-0.06509022082906779,-0.11741641378774381,-0.11179038483970671,,B,-0.11741641378774381,BTC_4,2022-06-12,-0.5783341872255627
2022-06-13,BTC,True,False,False,True,-0.153798392671479,-0.22702107942147431,-0.28322639458644505,,A|D,-0.28322639458644505,BTC_4,2022-06-12,-0.5783341872255627
2022-06-16,BTC,False,False,False,True,-0.09663642659402438,-0.09276746410547054,-0.32243914217004155,,D,-0.09663642659402438,BTC_4,2022-06-12,-0.5783341872255627
2022-06-18,BTC,False,True,False,False,-0.07318549539518904,-0.1599794010906972,-0.3325948910630543,,B,-0.1599794010906972,BTC_4,2022-06-12,-0.5783341872255627
2022-06-29,BTC,False,False,True,False,-0.007804237304431916,-0.04349543470479955,0.006755056411374971,-0.5783341872255627,C,-0.5783341872255627,BTC_4,2022-06-12,-0.5783341872255627
2022-07-12,BTC,False,True,False,False,-0.0318008616678046,-0.10481186634018524,-0.04198488984096327,-0.5949774373384547,B,-0.10481186634018524,BTC_4,2022-06-12,-0.5783341872255627
2022-08-19,BTC,False,True,False,True,-0.10162518541515753,-0.12661424941122823,-0.1462603181159563,-0.5634276386579539,B|D,-0.12661424941122823,BTC_5,2022-08-19,-0.12661424941122823
2022-09-13,BTC,False,False,False,True,-0.0992228879242214,-0.06812393005653095,0.0735984622106467,-0.5772747322288263,D,-0.0992228879242214,BTC_6,2022-09-13,-0.1202844826739371
2022-09-15,BTC,False,True,False,False,-0.02594737354715615,-0.1202844826739371,0.019778185765151557,-0.5871587181348898,B,-0.1202844826739371,BTC_6,2022-09-13,-0.1202844826739371
