year_week,n_assets,assets,week_start,worst_decline
2025-W02,6,AVAX|DOGE|ETH|OP|SOL|XLM,2025-01-07,-0.2537793502733998
2025-W03,8,AVAX|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-01-13,-0.23147850327007613
2025-W04,4,DOGE|ETH|OP|SUI,2025-01-20,-0.20577671921666474
2025-W05,8,AVAX|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-01-27,-0.23303975595355253
2025-W06,8,AVAX|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-02-04,-0.238513841670714
2025-W08,4,OP|SOL|SUI|XRP,2025-02-17,-0.22155397606463756
2025-W09,9,AVAX|BTC|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-02-24,-0.20626476416620398
2025-W10,9,AVAX|BTC|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-03-03,-0.297605616146421
2025-W11,3,ETH|SUI|XLM,2025-03-10,-0.20927597675523557
2025-W13,5,AVAX|BTC|DOGE|OP|SUI,2025-03-28,-0.20462274676000924
2025-W14,9,AVAX|BTC|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-03-31,-0.22259920549307544
2025-W15,8,AVAX|BTC|DOGE|ETH|SOL|SUI|XLM|XRP,2025-04-07,-0.22654831021848
2025-W21,3,AVAX|DOGE|OP,2025-05-20,-0.2026578073089702
2025-W22,5,AVAX|DOGE|OP|SOL|SUI,2025-05-30,-0.18396846254927723
2025-W23,4,AVAX|DOGE|OP|SUI,2025-06-04,-0.20393726439242332
2025-W24,4,AVAX|OP|SOL|SUI,2025-06-12,-0.18482758620689654
2025-W25,6,AVAX|DOGE|ETH|OP|SOL|SUI,2025-06-17,-0.22896551724137926
2025-W30,4,DOGE|OP|XLM|XRP,2025-07-23,-0.23702514713750666
2025-W31,8,AVAX|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-07-28,-0.2611999546330951
2025-W33,3,DOGE|OP|XLM,2025-08-14,-0.24469413233458182
2025-W35,7,AVAX|DOGE|ETH|OP|SOL|SUI|XRP,2025-08-25,-0.21716227048898729
2025-W39,7,AVAX|DOGE|ETH|OP|SOL|SUI|XRP,2025-09-22,-0.2642669007901669
2025-W41,9,AVAX|BTC|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-10-07,-0.3395081443628234
2025-W42,8,AVAX|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-10-15,-0.20705411966300147
2025-W44,4,AVAX|ETH|OP|SUI,2025-10-30,-0.21253417272514674
2025-W45,8,AVAX|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2025-11-03,-0.25418505940518243
2025-W46,6,AVAX|BTC|OP|SOL|SUI|XLM,2025-11-11,-0.2002792588458039
2025-W47,7,AVAX|DOGE|ETH|OP|SUI|XLM|XRP,2025-11-17,-0.20077007700770078
2025-W49,3,AVAX|OP|SUI,2025-12-01,-0.14016172506738545
2025-W51,4,AVAX|OP|SUI|XLM,2025-12-16,-0.1646920166242789
2026-W04,7,AVAX|DOGE|ETH|OP|SOL|SUI|XLM,2026-01-19,-0.2187848827938128
2026-W05,9,AVAX|BTC|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2026-01-29,-0.22836459361632122
2026-W06,9,AVAX|BTC|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2026-02-03,-0.250597800095648
2026-W07,3,OP|SOL|SUI,2026-02-09,-0.18849840255591044
2026-W13,3,OP|SOL|SUI,2026-03-23,-0.17527272727272736
2026-W23,9,AVAX|BTC|DOGE|ETH|OP|SOL|SUI|XLM|XRP,2026-06-01,-0.23767984592726854
