rank,members,size,strategy,f1,precision,recall,false_alarm_rate,avg_lead_time,total_signals,detected_crashes,total_crashes
45,VOL6+M7+M6,3,OR,0.5702546745172702,0.4019097222222222,0.9812734082397003,0.5980902777777778,10.187932228776553,2304,262,267
46,M5+VOL6+VOL3,3,OR,0.5698383643253246,0.4014962593516209,0.9812734082397003,0.5985037406483791,10.502724040917485,2807,262,267
47,M5+M8+X5,3,OR,0.5697090608761619,0.4013678905687545,0.9812734082397003,0.5986321094312455,9.913902639096463,2778,262,267
48,M5+M8+V7,3,OR,0.5689284938756143,0.40059347181008903,0.9812734082397003,0.599406528189911,10.109461734499629,2696,262,267
49,M7+M6+V4,3,OR,0.5688260059787458,0.4236983842010772,0.8651685393258427,0.5763016157989228,9.605433974510758,1671,231,267
50,M5+VOL3+VOL4,3,OR,0.5688091074207364,0.4106529209621993,0.9250936329588015,0.5893470790378007,10.19438341563865,2328,247,267
51,M5+V7+V4,3,OR,0.5686523123394694,0.4022203245089667,0.9700374531835206,0.5977796754910333,10.139638243868262,2342,259,267
52,M5+VOL6+VOL4,3,OR,0.5682856932326694,0.3993375046006625,0.9850187265917603,0.6006624953993375,10.213885701393867,2717,263,267
53,M7+X5+M6,3,OR,0.5682534937598087,0.4005499541704858,0.9775280898876404,0.5994500458295142,9.83696009003805,2182,261,267
54,M5+VOL3+V4,3,OR,0.5682461439814049,0.41155555555555556,0.9176029962546817,0.5884444444444444,10.206832724669185,2250,245,267
55,M7+M8+V4,3,OR,0.5677605345716539,0.40262489415749364,0.9625468164794008,0.5973751058425063,9.693270945689665,2362,257,267
56,M5+V7+VOL3,3,OR,0.5672801518191739,0.3983451536643026,0.9850187265917603,0.6016548463356974,10.523548590952084,2538,263,267
57,M7+M6,2,OR,0.5660897534078725,0.45776566757493187,0.7415730337078652,0.5422343324250681,9.736054500084212,1101,198,267
58,M7+VOL4,2,OR,0.565805639683174,0.41607258587167856,0.8838951310861424,0.5839274141283215,9.701151872637745,1543,236,267
59,M7+VOL3+M6,3,OR,0.5648724453254597,0.4150641025641026,0.8838951310861424,0.5849358974358975,10.265594345325882,1872,236,267
60,M5+X5+VOL4,3,OR,0.5643601309489533,0.396078431372549,0.9812734082397003,0.6039215686274509,9.948258433484723,2550,262,267
61,M5+X5+V4,3,OR,0.5638165671506077,0.3955431754874652,0.9812734082397003,0.6044568245125348,9.866074445146038,2513,262,267
62,M5+X5+VOL3,3,OR,0.5633577372561502,0.3957021118932938,0.9775280898876404,0.6042978881067061,10.274482140991019,2699,261,267
63,M7+M8+VOL3,3,OR,0.562506173245975,0.3986513288377628,0.9550561797752809,0.6013486711622372,10.089439535702686,2521,255,267
64,VOL6+M7,2,OR,0.5621605880778856,0.3945218644882268,0.9775280898876404,0.6054781355117732,10.247759951865874,2081,261,267
65,M7+V4,2,OR,0.5618566890078517,0.417765440666204,0.8576779026217228,0.582234559333796,9.562568190270744,1441,229,267
66,M7+V7+M6,3,OR,0.561787597852233,0.39858371269600407,0.951310861423221,0.601416287303996,10.172356226441192,1977,254,267
67,M5+VOL6+V7,3,OR,0.561404734051531,0.3913978494623656,0.9925093632958801,0.6086021505376344,10.432092797950137,2790,265,267
68,VOL6+M7+V4,3,OR,0.5602597740185828,0.3914563106796117,0.9850187265917603,0.6085436893203884,10.118782147684263,2575,263,267
69,VOL6+M7+M8,3,OR,0.5594047303286046,0.39121411276374957,0.9812734082397003,0.6087858872362504,10.128163008942101,2891,262,267
70,M7+M8+X5,3,OR,0.5593939853041436,0.3918020679468242,0.9775280898876404,0.6081979320531757,9.854514162263415,2708,261,267
71,M7+V4+VOL4,3,OR,0.5589583229926706,0.4011684518013632,0.9213483146067416,0.5988315481986368,9.708977165211344,2054,246,267
