id,is_return,is_sharpe,is_pf,is_trades,desc
S1.11_S_aggr#g59,57.25962104205722,0.47884694013420137,1.2644439612695597,428,cooldown=3; loss_streak_cooldown=3; nr_period=7
S1.11_S_aggr#g76,57.25962104205722,0.47884694013420137,1.2644439612695597,428,trail_base=2.5; trail_tight=1.0; trail_at=0.05; cooldown=3; loss_streak_cooldown=3; nr_period=7
S1.11_S_aggr#g75,57.25962104205722,0.47884694013420137,1.2644439612695597,428,trail_base=2.0; trail_tight=1.0; trail_at=0.05; cooldown=3; loss_streak_cooldown=3; nr_period=7
S1.11_S_aggr#g71,56.422462861378285,0.4551949352742894,1.2531112620232818,330,"cooldown=3; loss_streak_cooldown=3; exclude_assets=('DOGE', 'BTC'); nr_period=7"
S1.11_S_aggr#g57,52.12934607295747,0.45807814627393917,1.2639918022542085,437,cooldown=3; nr_period=7
S1.11_S_aggr#g31,52.12934607295747,0.45807814627393917,1.2639918022542085,437,nr_period=7
S1.11_S_aggr#g18,52.12934607295747,0.45807814627393917,1.2639918022542085,437,(=base)
S1.11_S_aggr#g65,52.047469345695376,0.4362192422053518,1.2415569804926263,378,"cooldown=3; loss_streak_cooldown=3; exclude_assets=('DOGE',); nr_period=7"
S1.11_S_aggr#g69,51.07628092656568,0.4373531230529193,1.2586175168868,338,"cooldown=3; exclude_assets=('DOGE', 'BTC'); nr_period=7"
S1.11_S_aggr#g61,49.01422165029052,0.43319185352159606,1.248141440389875,435,cooldown=3; loss_streak_cooldown=5; nr_period=7
S1.11_S_aggr#g63,47.79404932346951,0.4266487863885931,1.2504694865131842,386,"cooldown=3; exclude_assets=('DOGE',); nr_period=7"
S1.11_S_aggr#g21,47.38860918074665,0.3606692796652559,1.2332398090947496,406,(=base)
S1.11_S_aggr#g2,47.19406627499637,0.5617274490825704,1.2351403898215552,477,max_hold=28
S1.11_S_aggr#g73,46.814006210349206,0.40172000914127304,1.2361942968997093,336,"cooldown=3; loss_streak_cooldown=5; exclude_assets=('DOGE', 'BTC'); nr_period=7"
S1.11_S_aggr#g72,46.62300656019253,0.4557109644577008,1.2519462122338105,306,"cooldown=5; loss_streak_cooldown=3; exclude_assets=('DOGE', 'BTC'); nr_period=7"
S1.11_S_aggr#g12,45.00734271145521,0.43353347906805706,1.2095512215586803,456,(=base)
S1.11_S_aggr#g60,44.792373058700605,0.4506977906894444,1.2475607278943652,395,cooldown=5; loss_streak_cooldown=3; nr_period=7
S1.11_S_aggr#g1,44.493594646603725,0.5459186660189669,1.2252493186866569,493,max_hold=21
S1.11_S_aggr#g67,44.2895343479692,0.398651707042207,1.2326378294158087,384,"cooldown=3; loss_streak_cooldown=5; exclude_assets=('DOGE',); nr_period=7"
S1.11_S_aggr#g6,44.00150980072972,0.46053552013321863,1.2015138604684439,472,(=base)
S1.11_S_aggr#g9,43.96324102572289,0.4116890124779058,1.2055027732559256,433,(=base)
S1.11_S_aggr#g30,43.83216978908142,0.4307009831909688,1.2208524757382948,477,nr_period=5
S1.11_S_aggr#g66,43.772246277160676,0.45019927350979505,1.2502178580362777,346,"cooldown=5; loss_streak_cooldown=3; exclude_assets=('DOGE',); nr_period=7"
S1.11_S_aggr#g70,42.90097064725021,0.4251829501191512,1.230524197619136,311,"cooldown=5; exclude_assets=('DOGE', 'BTC'); nr_period=7"
S1.11_S_aggr#g0,42.3710665868987,0.5391195806879335,1.216350590763749,517,(=base)
S1.11_S_aggr#g58,41.494815200457644,0.4194377527979157,1.2259271223891737,404,cooldown=5; nr_period=7
S1.11_S_aggr#g78,41.05821256960681,0.5691418605813783,1.2677333139974472,529,trailing=atr_stepped; trail_base=2.5; trail_tight=1.0; trail_at=0.05; cooldown=3; loss_streak_cooldown=3; nr_period=7
S1.11_S_aggr#g64,40.60186315706709,0.42087529045754013,1.2295771144318475,354,"cooldown=5; exclude_assets=('DOGE',); nr_period=7"
S1.11_S_aggr#g27,39.92877390869717,0.3379384206762267,1.2260011081832438,392,(=base)
S1.11_S_aggr#g24,39.85620420547181,0.363439129902108,1.2311130997833668,420,(=base)
