id,is_return,is_sharpe,is_pf,is_trades,desc
S3.12_S_aggr_F8#g45,20.638367816794155,0.1493639938004624,1.1269723332027877,242,max_hold=21
S3.12_S_aggr_F8#g41,19.15605006711354,0.14828655181914965,1.1084925440335647,267,max_hold=21
S3.12_S_aggr_F8#g26,17.443596771472837,0.20010134795166065,1.1172903020083835,296,max_hold=28
S3.12_S_aggr_F8#g16,16.706956341815385,0.24256992821828927,1.1595505740590388,337,(=base)
S3.12_S_aggr_F8#g10,15.226167892602486,0.19437568365323893,1.1625163238287177,261,max_hold=28
S3.12_S_aggr_F8#g47,13.03164309734084,0.04598713855981743,1.0750495051473365,160,max_hold=42
S3.12_S_aggr_F8#g39,11.945037832857645,0.23339144418502983,1.1605452830279679,255,max_hold=42
S3.12_S_aggr_F8#g40,11.601738628060735,0.12910667200315543,1.0865669178958481,309,(=base)
S3.12_S_aggr_F8#g28,11.447484703944895,0.12207529265445816,1.0723208814049923,318,(=base)
S3.12_S_aggr_F8#g21,10.358680622161321,0.159029093435805,1.2168982989934534,272,max_hold=21
S3.12_S_aggr_F8#g27,8.547165005321745,0.1538688433356873,1.090414406046706,279,max_hold=42
S3.12_S_aggr_F8#g8,8.257046370647068,0.15834808650432405,1.1342784662329415,354,(=base)
S3.12_S_aggr_F8#g11,8.199569937751468,0.03530837462304991,1.3703314027586693,225,max_hold=42
S3.12_S_aggr_F8#g43,7.896425542940989,0.1495899659060755,1.1383030851889504,197,max_hold=42
S3.12_S_aggr_F8#g35,7.073242206399776,-0.011244222479599116,1.0610791257947394,171,max_hold=42
S3.12_S_aggr_F8#g22,6.0979259762789315,0.07985333030363849,1.0942484244039044,235,max_hold=28
S3.12_S_aggr_F8#g31,6.086699082461816,0.14057832881392862,1.1151043494041764,215,max_hold=42
S3.12_S_aggr_F8#g68,3.119081189808562,0.18390311993445885,1.1026549076766679,227,entry_delay=1; trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07; breadth_threshold=0.5; pivot_mode=weekly
S3.12_S_aggr_F8#g64,-0.36217529919760555,0.04444586728022529,1.0441312010718213,221,entry_delay=1; trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07; breadth_threshold=0.4; pivot_mode=weekly
S3.12_S_aggr_F8#g32,-4.273409791767918,-0.015593937846565431,1.0123567472267865,313,(=base)
S3.12_S_aggr_F8#g20,-5.3954376116815155,-0.04206233059904453,1.037166285493209,330,(=base)
S3.12_S_aggr_F8#g60,-5.796673485033114,-0.23395184947639266,0.9677555158774396,204,entry_delay=1; trail_mult=2.0; trail_base=2.5; trail_tight=1.0; trail_at=0.07; breadth_threshold=0.3; pivot_mode=weekly
S3.12_S_aggr_F8#g44,-7.726874288430802,-0.026384988147390435,1.008028406037044,304,(=base)
S3.12_S_aggr_F8#g23,-14.62594085923483,-0.24130503613472423,1.0023592157960242,193,max_hold=42
