module,n_candidates,avg_delta_oos,median_delta_oos,n_adopt,n_hold,n_reject,n_is_gate
F,21,5.557638788064862,8.006774624346473,14,2,5,4
A,28,0.93888972669209,-0.7700631127821929,13,0,15,8
D,14,-2.5482702068761265,-2.2354755593010847,3,2,9,12
combo,28,-4.784436875080586,-5.39573016286619,9,2,17,11
B,21,-5.280213396143936,0.20941053135986643,13,0,8,8
C,35,-15.804454849099537,-13.927910175229822,4,0,31,2
E,7,-20.484077231688158,-9.647109040691639,1,0,6,1
