id,base_id,module,universe,weighted,is_return,is_sharpe,is_pf,is_trades,oos_return,oos_sharpe,oos_pf,oos_trades,oos_assets,oos_sl_hit,is_sl_hit
SEQ_S1.11_S+S4.04_L,SEQ_S1.11_S+S4.04_L,base,full,False,68.53688148892321,1.1230152050355895,1.3131839716724056,718,44.979620355813914,0.8704775654020247,1.2633172794870648,630,9,0.5571428571428572,0.5236768802228412
S2.08_L_aggr_F9,S2.08_L_aggr_F9,base,full,False,43.50263320077633,1.5600554332570085,1.6291257979096874,185,16.576320977861428,0.5898309509575087,1.2617331524901496,189,9,0.5291005291005291,0.5081081081081081
S2.08_L_aggr_F3,S2.08_L_aggr_F3,base,full,False,37.158317398091675,1.7351702738711217,1.8987649762610415,92,11.772081704779385,0.6810185100287806,1.4987217680810605,60,5,0.43617021276595747,0.49523809523809526
S3.12_S_aggr_F8,S3.12_S_aggr_F8,base,full,False,57.07911737605112,0.921104590923311,1.380839872714732,401,43.621023093201615,0.7178704813207012,1.272316957650161,374,9,0.5561497326203209,0.5087281795511222
S1.11_S_aggr,S1.11_S_aggr,base,full,False,42.3710665868987,0.5391195806879335,1.216350590763749,517,24.096085480002714,0.3154663589227684,1.1111053173539964,441,9,0.5555555555555556,0.5222437137330754
SEQ_S1.11_S+S3.01_L,SEQ_S1.11_S+S3.01_L,base,full,False,35.15736576249183,0.6715250711518471,1.1855557963678722,664,38.900778234558985,0.828711305564829,1.2082888630789181,575,9,0.5582608695652174,0.5481927710843374
S7.04_S_trail,S7.04_S_trail,base,full,False,24.372917561634278,2.8667522980520586,1.8244341699950837,161,14.755192695334111,1.8261349195710923,1.5742762594228232,180,9,0.0,0.0
SEQ_S1.11_S+S4.04_L+A1,SEQ_S1.11_S+S4.04_L,A,full,False,62.116294728447784,0.5709448808347967,1.3006433966678133,540,87.45536714748998,0.9431153593821683,1.4562434500706278,464,9,0.34051724137931033,0.3537037037037037
SEQ_S1.11_S+S4.04_L+A2,SEQ_S1.11_S+S4.04_L,A,full,False,57.74613764211071,0.5715489167416963,1.282044954452373,595,79.3682548393716,0.9956262609382913,1.4184571743992225,519,9,0.4836223506743738,0.4823529411764706
SEQ_S1.11_S+S4.04_L+A3,SEQ_S1.11_S+S4.04_L,A,full,False,64.45212476205288,0.5410459127050609,1.315930452371329,509,71.29246224111006,0.6485841903017513,1.3848515428152108,436,9,0.25688073394495414,0.24361493123772102
