strategy_id,oos_w1,oos_w2,oos_w3,oos_w4,oos_w5,windows_positive,wf_validated
SEQ_S1.11_S+S4.04_L+A4,27.485743203380466,51.37974061004221,-0.6176794180175579,11.620211288565297,-0.049045402912031744,3,True
S2.08_L_aggr_F9+A4,,,,,,0,False
S2.08_L_aggr_F3+A4,,,,,,0,False
S1.11_S_aggr+B2,12.883345594221838,-15.224093402930631,20.276572246076356,14.165096822407001,11.652360315228682,4,True
SEQ_S1.11_S+S3.01_L+E1,9.121370144097382,16.65978144025839,13.863836754644604,6.797349532841086,3.6663770699465537,5,True
